notice;adresse;codePostal;ville;typeLieu;dateDebut;anneeDebut;dateFin;anneeFin;titreNotice;typePersonne;activitePersonne;activiteComment;latitude;longitude;score;vignette;commentaire;uuid_collection_1;nom_collection_1;uuid_collection_2;nom_collection_2
3af266d3-c556-47d7-be75-b8fe08b5a95a;9-11 rue Bleue;75009;Paris;adresse professionnelle;1893-01-01;1893;1893-12-31;1893;Worch & Cie;collectivité;marchand;"<p>Importation directe. Maisons à Yokohama et à Kobe.</p><p><br></p><p><br></p><p>""Maison A. Worch.</p><p>Les agrandissements que M. A. Worch, importateur d’objets d’art et de céramiques chinoises, vient de faire a ses magasins, 9 rue Bleue, sont si importants qu’ils en prolongent l’étendue jusque et y compris le No. 15 de la même rue. Plusieurs grands salons permettent d’y exposer maintenant beaucoup plus avantageusement les nombreux objets d’art ancien de la Chine qui forment à l’heure actuelle une des branches les plus importantes de la maison Worch. C’est ainsi qu’a ma dernière visite, j’ai eu occasion d’admirer de bien belles pièces, telles qu’un vase balustre a col évasé, fond corail, à réserves décorées aux trois couleurs avec des inscriptions époque Kang-Hi, et un vase carré, emmaillé sur biscuit, fond jaune paille, a décor de lotus en émaux verts et manganèse. Ces deux vases, que je cite comme les plus beaux, sont accompagnes d’un grand nombre d’autres, plus intéressants les uns que les autres.</p><p>Des vitrines entières sont remplies de précieuses porcelaines; l’une ne contient que des pièces emmaillées sur biscuit, époque des Ming; d’autres des jades et cristaux de roche. De grandes vasques, époque des Ming, en grès emmaillé fond bleu-foncé, a rehauts bleu-turquoise, de grands paravents en laque de Coromandel, sont également a signaler dans ce beau stock si varié.</p><p>Le musée du Louvre vient d’acquérir de M. Worch une pierre tumulaire, détachée de l’intérieur d’un tombeau, sur laquelle sont gravées des scènes de la vie d’un prince, en trois compartiments encadrés de zones d’ornements dans le style indo-chinois, pièce archaïque d’un très grand intérêt au point de vue de l'art du nord de la Chine."" (The New York Herald, 20/10/1912)</p>";48.87579639264609;2.346707154077456;;;;;;;
3af266d3-c556-47d7-be75-b8fe08b5a95a;9-15 rue Bleue;75009;Paris;Non renseigné;1912-01-01;1912;1912-12-31;1912;Worch & Cie;collectivité;marchand;"<p>Importation directe. Maisons à Yokohama et à Kobe.</p><p><br></p><p><br></p><p>""Maison A. Worch.</p><p>Les agrandissements que M. A. Worch, importateur d’objets d’art et de céramiques chinoises, vient de faire a ses magasins, 9 rue Bleue, sont si importants qu’ils en prolongent l’étendue jusque et y compris le No. 15 de la même rue. Plusieurs grands salons permettent d’y exposer maintenant beaucoup plus avantageusement les nombreux objets d’art ancien de la Chine qui forment à l’heure actuelle une des branches les plus importantes de la maison Worch. C’est ainsi qu’a ma dernière visite, j’ai eu occasion d’admirer de bien belles pièces, telles qu’un vase balustre a col évasé, fond corail, à réserves décorées aux trois couleurs avec des inscriptions époque Kang-Hi, et un vase carré, emmaillé sur biscuit, fond jaune paille, a décor de lotus en émaux verts et manganèse. Ces deux vases, que je cite comme les plus beaux, sont accompagnes d’un grand nombre d’autres, plus intéressants les uns que les autres.</p><p>Des vitrines entières sont remplies de précieuses porcelaines; l’une ne contient que des pièces emmaillées sur biscuit, époque des Ming; d’autres des jades et cristaux de roche. De grandes vasques, époque des Ming, en grès emmaillé fond bleu-foncé, a rehauts bleu-turquoise, de grands paravents en laque de Coromandel, sont également a signaler dans ce beau stock si varié.</p><p>Le musée du Louvre vient d’acquérir de M. Worch une pierre tumulaire, détachée de l’intérieur d’un tombeau, sur laquelle sont gravées des scènes de la vie d’un prince, en trois compartiments encadrés de zones d’ornements dans le style indo-chinois, pièce archaïque d’un très grand intérêt au point de vue de l'art du nord de la Chine."" (The New York Herald, 20/10/1912)</p>";48.87579639264609;2.346707154077456;;;;;;;
3a3e1a72-a570-40c7-a9fa-6f638aa52bc7;7 place Vendôme;75001;Paris;adresse professionnelle;1863-01-01;1863;1873-12-31;1873;Samson, E. fils ainé et Cie;collectivité;marchand;<p>Fabrication de porcelaines, peintures et décors, Sèvres, Japon, Chine. Reproduction de faïences et porcelaines anciennes.</p>;48.867282;2.328341;0.9638618181818182;;;;;;
3a3e1a72-a570-40c7-a9fa-6f638aa52bc7;7 rue Béranger;75003;Paris;adresse professionnelle;1873-01-01;1873;1932-12-31;1932;Samson, E. fils ainé et Cie;collectivité;marchand;<p>Fabrication de porcelaines, peintures et décors, Sèvres, Japon, Chine. Reproduction de faïences et porcelaines anciennes.</p>;48.865367;2.364047;0.9665909090909091;;;;;;
d3544265-6cd9-4c6c-9db2-7a870665454d;21 rue de Bourgogne;75007;Paris;adresse professionnelle;1880-01-01;1880;1900-12-31;1900;Maison Rotrou;collectivité;marchand;<p>Importateur direct de tous articles de Chine et du Japon.</p>;48.85795354609027;2.317658717522223;;;;;;;
d3544265-6cd9-4c6c-9db2-7a870665454d;31 rue Las Cases;75007;Paris;adresse professionnelle;1888-01-01;1888;1900-12-31;1900;Maison Rotrou;collectivité;marchand;<p>Importateur direct de tous articles de Chine et du Japon.</p>;48.859116;2.318175;0.9694299999999999;;;;;;
259eafa7-0fa1-4634-a059-a90297c55646;5 rue Castiglione;75001;Paris;adresse professionnelle;1876-01-01;1876;1900-12-31;1900;Jules Woernitz;collectivité;marchand;;48.866118;2.327819;0.740007942583732;;;;;;
6190fb75-ff3d-4714-a510-02374d7fe4be;92 rue Richelieu;75002;Paris;adresse professionnelle;1875-01-01;1875;1884-12-31;1884;Sommer (B.);collectivité;marchand;;48.870343;2.339362;0.7405472727272727;;;;;;
81766779-96da-42d6-a52d-912803fb1c46;12 rue Auber;75009;Paris;adresse professionnelle;1893-01-01;1893;1897-12-31;1897;Roullier;collectivité;marchand;;48.872828;2.328982;0.9683718181818182;;;;;;
99aac3aa-a653-411c-bc8c-1811d14e7980;Rue Polonceau;75018;Paris;adresse privée;1841-01-01;1841;1841-12-31;1841;Madame Hatty;personne;marchand, antiquaire;;48.885648;2.352599;0.977750909090909;http://agorha.inha.fr/ark:/54721/c7e98598-63e3-4f61-824b-ab21e2bb5c64/doc/e8568a81-97f1-426c-a72c-b6c1f154d1f7/thumbnail.jpg;;;;;
