uuid_collectionneur;uuid_collection;statut_notice;titre_collection;activite_personne
85f38a16-31af-4757-8f53-eb7371821cb0;9be5e167-a1ef-488e-8413-9164420eb137;Publiée;Collection de Paul Pelliot;
293f81f2-96bd-4bbe-a586-45b8f41dc53c;b95aafc0-ec64-4ba5-a508-c42f53169d64;Publiée;Collection d'Henry Barbet de Jouy;collectionneur
466bd64c-0d12-43d1-a4ba-5664856eb4f1;d8dff6aa-83b8-4672-b90f-23ab1f9193f2;Publiée;Collection de la duchesse de Mazarin;collectionneur
dfeae3be-4f85-4863-9593-fd189dc2bfe2;55bea4b5-9e1d-4040-a398-a4d48fcca413;Publiée;Collection de Joseph Ly;collecteur
f6f5aeeb-ae37-4a41-9819-409df62ef845;7a5ed424-3e07-4fb6-bb5c-8e2f15728fd9;Publiée;Collection Dutuit;collectionneur
253924e4-e75e-4ea5-9b5d-378106d70ba0;7a5ed424-3e07-4fb6-bb5c-8e2f15728fd9;Publiée;Collection Dutuit;collectionneur
091bcada-3bd2-4071-941a-190db4b8ab1d;7a5ed424-3e07-4fb6-bb5c-8e2f15728fd9;Publiée;Collection Dutuit;collectionneur
3c5f2029-484c-4b6e-941a-c6c3a09b78b7;642410f3-9c26-4cfc-8cd1-cfc6eb0e0bea;Publiée;Collection Robert de Sémallé;collectionneur
315171f4-55b5-49c3-a612-1d8e7fa31a49;fdcfbb49-176e-4c75-81ac-5e55fc007cb1;Publiée;Collection de Louis Marie Augustin, duc d’Aumont;collectionneur
cc6f3c00-c388-4a7f-ae37-52b348f8e903;54e535f4-31b4-4ac1-9e57-a08001e09a59;Publiée;Collection d'Édouard Ariel;collectionneur
86e2cb33-a44f-433f-9c08-44fe81c673ee;7b82d0e8-7473-4040-a604-fbd3f4b5cb51;Publiée;Collection d'Édouard Levi Montefiore;collectionneur
2f30b4bc-a067-4c00-99f3-28d4cec82563;de708673-76b8-414e-aea3-cd2a4857059a;Publiée;Collection d'Angran vicomte de Fontpertuis;collectionneur
4669c7dc-cfd3-4d55-b8ac-2d8445502e39;c431c31a-0d7d-41ec-90ee-5266bf48ab3f;Publiée;Collection de Xavier Brau de Saint Pol Lias;collecteur
589404d6-68d6-4c9f-9516-a5694587d113;9ff56f70-479b-4803-aa0f-a1f74121dba7;Publiée;Collection d'Octave du Sartel;collectionneur
3ee478a4-a3ae-4488-a3ae-bb660442bc64;f087f7c5-6be6-4f9c-a437-4cae52cf19a8;Publiée;Collection de Jules Claine;collectionneur,collecteur
070042a4-14d8-443b-848b-4d3b77b8598b;b6d121ca-5ba3-470f-84b3-9964560dcc3b;Publiée;Collection de Gabriel Jouveau-Dubreuil;collectionneur,collecteur
93163d57-005c-4647-8ba7-ac8e138a123b;540ea1c0-8d62-472f-8534-91c79354be4b;Publiée;Collection Louis XV;collectionneur
b8b0faac-d7bc-47d0-b552-f62807087f40;b27e2530-e91c-4fad-90a0-41d310da6381;Publiée;Collection de Marie-Henriette Dard;collectionneur
93e63a2e-0c8d-4fd2-bd37-ad610608c3bd;5d493d92-4f81-437d-8f7d-fa91b5890c52;Publiée;Collection de Charles Thevenot;collectionneur
f8a322d0-1374-4b91-a654-9b128504633a;3fd2951c-7435-48b3-97af-85823dc89e33;Publiée;Collection de Achille Silvestre;
c73e2825-2bb2-4508-9dff-11e2dd315336;df32488f-301b-41a2-bd8d-0c9808405714;Publiée;Collection de Charles Vignier;collectionneur
d1901d9b-018a-47bb-b10b-a26b6c7d6c05;2597ddff-a25c-4e10-b78e-d0f3564858b1;Publiée;Collection Demidoff;collectionneur
e178a13d-2ecc-4713-891c-5c8e6458b558;2aff1b7a-d514-4f4e-9fae-315c2473d31d;Publiée;Collection de Eugène Pley;collectionneur
3b7c14c2-8a1e-49e4-9e67-5786cf4b3675;859c0797-5ee4-46e9-9691-506e620131a5;Publiée;Collection de Ernest Chantre;collecteur
845189dd-ba89-47b8-9d47-faae41935cc9;d9505e9b-2598-411f-847d-15367fb9d7b9;Publiée;Collection de Stanislas Benoist-Méchin;
669e1b41-420a-4281-b511-2aefd4ae0e2d;c2cc5f97-5054-4425-b554-6afd2847d6c1;Publiée;Collection de Chrétien de Guignes;collectionneur
d39f19cb-740f-45c7-a817-b7db59d745d8;67a0aa80-814e-4e09-aaf4-382770e64a27;Publiée;Collection d'Augustin Blondel de Gagny;collectionneur
55a2c4dc-de37-457c-86ac-78381504f75f;f82ae448-102d-426f-83e2-6939bcfdba26;Publiée;Collection de Théodore Duret;collectionneur
2b0905b3-12fb-490a-9718-5f56c415b006;2b69ab9f-99f7-4b00-9c31-46d2306ddda8;Publiée;Collection de Louis Joseph Raphaël Collin;collectionneur
dc382199-149f-4b02-98fd-51daa0ef313b;5d85bfba-b029-47c5-b4e6-df433d9c79f9;Publiée;Collection de Hugues Krafft;collecteur
0c41fd23-5310-4119-b2ae-8fa4f4ca7975;22428ad8-9c96-49f9-80d1-63d0e8710833;Publiée;Collection de la marquise de Pompadour;collectionneur
